,Unnamed: 0,Address,Beds,Bath,Size_sqft,Lot_Size,Agent_Name ,Agent_Company,Price,Walk_Score,Transit_Score,Bike_Score
0,0,"5615 Greeley PL, Fremont, Alameda County, CA, 94538",3,2.0,"1,108",0.137 ac,Cindy Liu ,Starriver Inc,"$1,298,000 USD",49.0,35.0,44.0
1,1,"38566 Acacia St, Fremont, Alameda County, CA, 94536",3,2.0,"1,492",0.15 ac,Jill Denton ,"eXp Realty of California, Inc","$1,449,000 USD",81.0,58.0,73.0
2,2,"5349 Audubon Park CT, Fremont, Alameda County, CA, 94538",4,3.0,"1,581",0.206 ac,Scott Perry ,KW Bay Area Estates,"$1,575,000 USD",45.0,32.0,48.0
3,3,"4103 Tawny TER, Fremont, Alameda County, CA, 94536",3,3.0,"1,549",2.34 ac,Terri Brown ,Compass,"$1,198,000 USD",72.0,41.0,52.0
4,4,"762 Ridgeview Ter, Fremont, Alameda County, CA, 94536",2,2.0,"1,001",0.09 ac,Marie Rice ,Legacy Real Estate & Assoc.,"$998,500 USD",23.0,53.0,63.0
5,5,"4839 Sterling Dr, Fremont, Alameda County, CA, 94536",3,2.0,"1,132",0.213 ac,Elena Garcia ,Intero Real Estate Services,"$1,198,000 USD",36.0,29.0,41.0
6,6,"37900 2nd Street, Fremont, Alameda County, CA, 94536",3,2.0,"1,364",0.14 ac,Timothy Fletcher ,Keller Williams Benchmark,"$1,364,999 USD",71.0,26.0,74.0
7,7,"42930 Corte Habana, Fremont, Alameda County, CA, 94539",3,2.0,"1,242",906 ac,Parveen Singh ,Redfin,"$950,000 USD",53.0,33.0,44.0
8,8,"4825 Valpey Park Ave, Fremont, Alameda County, CA, 94538",4,2.0,"1,551",0.135 ac,Kim Ott ,Compass,"$1,488,888 USD",52.0,29.0,48.0
9,9,"3850 Great Salt Lake CT, Fremont, Alameda County, CA, 94555",3,3.0,"1,335",0.092 ac,Jose Reyes ,Elite Realty Services,"$1,199,000 USD",67.0,39.0,57.0
10,10,"38912 Cherry Glen Cmn, Fremont, Alameda County, CA, 94536",2,2.0,"1,168",0.52 ac,Steve Pierce ,Keller Williams Benchmark,"$749,000 USD",30.0,56.0,68.0
11,11,"4340 Peregrine Way, Fremont, Alameda County, CA, 94555",4,3.0,"2,474",0.138 ac,Farid Nasraty ,Alliance Bay Realty,"$2,225,000 USD",38.0,31.0,54.0
12,12,"38618 Country Cmn, Fremont, Alameda County, CA, 94536",2,2.0,723,0.81 ac,Jaideep Singh ,Keller Williams Benchmark,"$448,000 USD",76.0,52.0,62.0
13,13,"4182 Isola Dr, Fremont, Alameda County, CA, 94555",4,2.0,"2,008",0.27 ac,Pamela Tran ,Redfin,"$1,888,000 USD",44.0,32.0,55.0
14,14,"1540 Skelton Ct, Fremont, Alameda County, CA, 94536",4,2.0,"2,325",0.251 ac,Kim Ott ,Compass,"$1,798,888 USD",41.0,54.0,60.0
15,15,"4990 Everglades Park Dr., Fremont, Alameda County, CA, 94538",3,2.0,"1,180",0.15 ac,Martin Y Lu ,Alliance Bay Realty,"$1,080,000 USD",40.0,31.0,52.0
16,16,"4376 Hyde Cmn, Fremont, Alameda County, CA, 94538",4,4.0,"1,737",0.25 ac,Tim S. Wang ,Legacy Real Estate & Assoc.,"$1,399,800 USD",82.0,38.0,58.0
17,17,"4350 Burke Way, Fremont, Alameda County, CA, 94536",3,2.0,"1,148",0.14 ac,Sanjiv Nayyar ,Redfin,"$1,299,000 USD",66.0,41.0,59.0
18,18,"2359 Halogen Cmn 211, Fremont, Alameda County, CA, 94539",2,2.0,"1,886",0,Ted Chen ,"eXp Realty of California, Inc","$1,299,000 USD",30.0,52.0,64.0
19,19,"38985 Gar TER, Fremont, Alameda County, CA, 94536",3,3.0,"1,400",0.023 ac,John Chung ,Keller Williams Palo Alto,"$1,150,000 USD",57.0,60.0,77.0
20,20,"3878 Scamman Ct, Fremont, Alameda County, CA, 94538",4,3.0,"1,695",0.12 ac,Rick Geha ,"eXp Realty of California, Inc","$1,789,888 USD",82.0,36.0,69.0
21,21,"480 Chardonnay Dr, Fremont, Alameda County, CA, 94539",4,3.0,"2,262",0.15 ac,Bobby Nijjar ,Legacy Real Estate & Assoc.,"$1,999,000 USD",27.0,37.0,51.0
