,Address,Beds,Bath,Size Sqft,Lot Size,Agent Name,Agent Company,Price,Walk Score,Transit Score,Bike Score
0,"5615 Greeley PL, Fremont, Alameda County, CA, 94538",3,2,"1,108",0.137 ac,Cindy Liu ,Starriver Inc,"$1,298,000 USD",49,35,44
1,"38566 Acacia St, Fremont, Alameda County, CA, 94536",3,2,"1,492",0.15 ac,Jill Denton ,"eXp Realty of California, Inc","$1,449,000 USD",81,58,73
2,"5349 Audubon Park CT, Fremont, Alameda County, CA, 94538",4,3,"1,581",0.206 ac,Scott Perry ,KW Bay Area Estates,"$1,575,000 USD",45,32,48
3,"4103 Tawny TER, Fremont, Alameda County, CA, 94536",3,3,"1,549",2.34 ac,Terri Brown ,Compass,"$1,198,000 USD",72,41,52
4,"762 Ridgeview Ter, Fremont, Alameda County, CA, 94536",2,2,"1,001",0.09 ac,Marie Rice ,Legacy Real Estate & Assoc.,"$998,500 USD",23,53,63
5,"4839 Sterling Dr, Fremont, Alameda County, CA, 94536",3,2,"1,132",0.213 ac,Elena Garcia ,Intero Real Estate Services,"$1,198,000 USD",36,29,41
6,"37900 2nd Street, Fremont, Alameda County, CA, 94536",3,2,"1,364",0.14 ac,Timothy Fletcher ,Keller Williams Benchmark,"$1,364,999 USD",71,26,74
7,"42930 Corte Habana, Fremont, Alameda County, CA, 94539",3,2,"1,242",906 ac,Parveen Singh ,Redfin,"$950,000 USD",53,33,44
8,"4825 Valpey Park Ave, Fremont, Alameda County, CA, 94538",4,2,"1,551",0.135 ac,Kim Ott ,Compass,"$1,488,888 USD",52,29,48
9,"3850 Great Salt Lake CT, Fremont, Alameda County, CA, 94555",3,3,"1,335",0.092 ac,Jose Reyes ,Elite Realty Services,"$1,199,000 USD",67,39,57
10,"38912 Cherry Glen Cmn, Fremont, Alameda County, CA, 94536",2,2,"1,168",0.52 ac,Steve Pierce ,Keller Williams Benchmark,"$749,000 USD",30,56,68
11,"4340 Peregrine Way, Fremont, Alameda County, CA, 94555",4,3,"2,474",0.138 ac,Farid Nasraty ,Alliance Bay Realty,"$2,225,000 USD",38,31,54
12,"38618 Country Cmn, Fremont, Alameda County, CA, 94536",2,2,723,0.81 ac,Jaideep Singh ,Keller Williams Benchmark,"$448,000 USD",76,52,62
13,"4182 Isola Dr, Fremont, Alameda County, CA, 94555",4,2,"2,008",0.27 ac,Pamela Tran ,Redfin,"$1,888,000 USD",44,32,55
14,"1540 Skelton Ct, Fremont, Alameda County, CA, 94536",4,2,"2,325",0.251 ac,Kim Ott ,Compass,"$1,798,888 USD",41,54,60
15,"4990 Everglades Park Dr., Fremont, Alameda County, CA, 94538",3,2,"1,180",0.15 ac,Martin Y Lu ,Alliance Bay Realty,"$1,080,000 USD",40,31,52
16,"4376 Hyde Cmn, Fremont, Alameda County, CA, 94538",4,4,"1,737",0.25 ac,Tim S. Wang ,Legacy Real Estate & Assoc.,"$1,399,800 USD",82,38,58
17,"4350 Burke Way, Fremont, Alameda County, CA, 94536",3,2,"1,148",0.14 ac,Sanjiv Nayyar ,Redfin,"$1,299,000 USD",66,41,59
18,"2359 Halogen Cmn 211, Fremont, Alameda County, CA, 94539",2,2,"1,886",NA,Ted Chen ,"eXp Realty of California, Inc","$1,299,000 USD",30,52,64
19,"38985 Gar TER, Fremont, Alameda County, CA, 94536",3,3,"1,400",0.023 ac,John Chung ,Keller Williams Palo Alto,"$1,150,000 USD",57,60,77
20,"3878 Scamman Ct, Fremont, Alameda County, CA, 94538",4,3,"1,695",0.12 ac,Rick Geha ,"eXp Realty of California, Inc","$1,789,888 USD",82,36,69
21,"480 Chardonnay Dr, Fremont, Alameda County, CA, 94539",4,3,"2,262",0.15 ac,Bobby Nijjar ,Legacy Real Estate & Assoc.,"$1,999,000 USD",27,37,51
22,"3587 Wyndham Dr, Fremont, Alameda County, CA, 94536",4,2,"1,714",0.15 ac,Louis Heystek ,Compass,"$1,749,000 USD",49,42,54
23,"5615 Greeley PL, Fremont, Alameda County, CA, 94538",3,2,"1,108",0.137 ac,Cindy Liu ,Starriver Inc,"$1,298,000 USD",49,35,44
24,"38566 Acacia St, Fremont, Alameda County, CA, 94536",3,2,"1,492",0.15 ac,Jill Denton ,"eXp Realty of California, Inc","$1,449,000 USD",81,58,73
25,"5349 Audubon Park CT, Fremont, Alameda County, CA, 94538",4,3,"1,581",0.206 ac,Scott Perry ,KW Bay Area Estates,"$1,575,000 USD",45,32,48
26,"4103 Tawny TER, Fremont, Alameda County, CA, 94536",3,3,"1,549",2.34 ac,Terri Brown ,Compass,"$1,198,000 USD",72,41,52
27,"762 Ridgeview Ter, Fremont, Alameda County, CA, 94536",2,2,"1,001",0.09 ac,Marie Rice ,Legacy Real Estate & Assoc.,"$998,500 USD",23,53,63
28,"4839 Sterling Dr, Fremont, Alameda County, CA, 94536",3,2,"1,132",0.213 ac,Elena Garcia ,Intero Real Estate Services,"$1,198,000 USD",36,29,41
29,"37900 2nd Street, Fremont, Alameda County, CA, 94536",3,2,"1,364",0.14 ac,Timothy Fletcher ,Keller Williams Benchmark,"$1,364,999 USD",71,26,74
30,"42930 Corte Habana, Fremont, Alameda County, CA, 94539",3,2,"1,242",906 ac,Parveen Singh ,Redfin,"$950,000 USD",53,33,44
31,"4825 Valpey Park Ave, Fremont, Alameda County, CA, 94538",4,2,"1,551",0.135 ac,Kim Ott ,Compass,"$1,488,888 USD",52,29,48
32,"3850 Great Salt Lake CT, Fremont, Alameda County, CA, 94555",3,3,"1,335",0.092 ac,Jose Reyes ,Elite Realty Services,"$1,199,000 USD",67,39,57
33,"38912 Cherry Glen Cmn, Fremont, Alameda County, CA, 94536",2,2,"1,168",0.52 ac,Steve Pierce ,Keller Williams Benchmark,"$749,000 USD",30,56,68
34,"4340 Peregrine Way, Fremont, Alameda County, CA, 94555",4,3,"2,474",0.138 ac,Farid Nasraty ,Alliance Bay Realty,"$2,225,000 USD",38,31,54
35,"38618 Country Cmn, Fremont, Alameda County, CA, 94536",2,2,723,0.81 ac,Jaideep Singh ,Keller Williams Benchmark,"$448,000 USD",76,52,62
36,"4182 Isola Dr, Fremont, Alameda County, CA, 94555",4,2,"2,008",0.27 ac,Pamela Tran ,Redfin,"$1,888,000 USD",44,32,55
37,"1540 Skelton Ct, Fremont, Alameda County, CA, 94536",4,2,"2,325",0.251 ac,Kim Ott ,Compass,"$1,798,888 USD",41,54,60
38,"4990 Everglades Park Dr., Fremont, Alameda County, CA, 94538",3,2,"1,180",0.15 ac,Martin Y Lu ,Alliance Bay Realty,"$1,080,000 USD",40,31,52
39,"4376 Hyde Cmn, Fremont, Alameda County, CA, 94538",4,4,"1,737",0.25 ac,Tim S. Wang ,Legacy Real Estate & Assoc.,"$1,399,800 USD",82,38,58
40,"4350 Burke Way, Fremont, Alameda County, CA, 94536",3,2,"1,148",0.14 ac,Sanjiv Nayyar ,Redfin,"$1,299,000 USD",66,41,59
41,"2359 Halogen Cmn 211, Fremont, Alameda County, CA, 94539",2,2,"1,886",NA,Ted Chen ,"eXp Realty of California, Inc","$1,299,000 USD",30,52,64
42,"38985 Gar TER, Fremont, Alameda County, CA, 94536",3,3,"1,400",0.023 ac,John Chung ,Keller Williams Palo Alto,"$1,150,000 USD",57,60,77
43,"3878 Scamman Ct, Fremont, Alameda County, CA, 94538",4,3,"1,695",0.12 ac,Rick Geha ,"eXp Realty of California, Inc","$1,789,888 USD",82,36,69
44,"480 Chardonnay Dr, Fremont, Alameda County, CA, 94539",4,3,"2,262",0.15 ac,Bobby Nijjar ,Legacy Real Estate & Assoc.,"$1,999,000 USD",27,37,51
45,"3587 Wyndham Dr, Fremont, Alameda County, CA, 94536",4,2,"1,714",0.15 ac,Louis Heystek ,Compass,"$1,749,000 USD",49,42,54
46,"5615 Greeley PL, Fremont, Alameda County, CA, 94538",3,2,"1,108",0.137 ac,Cindy Liu ,Starriver Inc,"$1,298,000 USD",49,35,44
47,"38566 Acacia St, Fremont, Alameda County, CA, 94536",3,2,"1,492",0.15 ac,Jill Denton ,"eXp Realty of California, Inc","$1,449,000 USD",81,58,73
48,"5349 Audubon Park CT, Fremont, Alameda County, CA, 94538",4,3,"1,581",0.206 ac,Scott Perry ,KW Bay Area Estates,"$1,575,000 USD",45,32,48
49,"4103 Tawny TER, Fremont, Alameda County, CA, 94536",3,3,"1,549",2.34 ac,Terri Brown ,Compass,"$1,198,000 USD",72,41,52
50,"762 Ridgeview Ter, Fremont, Alameda County, CA, 94536",2,2,"1,001",0.09 ac,Marie Rice ,Legacy Real Estate & Assoc.,"$998,500 USD",23,53,63
51,"4839 Sterling Dr, Fremont, Alameda County, CA, 94536",3,2,"1,132",0.213 ac,Elena Garcia ,Intero Real Estate Services,"$1,198,000 USD",36,29,41
52,"37900 2nd Street, Fremont, Alameda County, CA, 94536",3,2,"1,364",0.14 ac,Timothy Fletcher ,Keller Williams Benchmark,"$1,364,999 USD",71,26,74
53,"42930 Corte Habana, Fremont, Alameda County, CA, 94539",3,2,"1,242",906 ac,Parveen Singh ,Redfin,"$950,000 USD",53,33,44
54,"4825 Valpey Park Ave, Fremont, Alameda County, CA, 94538",4,2,"1,551",0.135 ac,Kim Ott ,Compass,"$1,488,888 USD",52,29,48
55,"3850 Great Salt Lake CT, Fremont, Alameda County, CA, 94555",3,3,"1,335",0.092 ac,Jose Reyes ,Elite Realty Services,"$1,199,000 USD",67,39,57
56,"38912 Cherry Glen Cmn, Fremont, Alameda County, CA, 94536",2,2,"1,168",0.52 ac,Steve Pierce ,Keller Williams Benchmark,"$749,000 USD",30,56,68
57,"4340 Peregrine Way, Fremont, Alameda County, CA, 94555",4,3,"2,474",0.138 ac,Farid Nasraty ,Alliance Bay Realty,"$2,225,000 USD",38,31,54
58,"38618 Country Cmn, Fremont, Alameda County, CA, 94536",2,2,723,0.81 ac,Jaideep Singh ,Keller Williams Benchmark,"$448,000 USD",76,52,62
59,"4182 Isola Dr, Fremont, Alameda County, CA, 94555",4,2,"2,008",0.27 ac,Pamela Tran ,Redfin,"$1,888,000 USD",44,32,55
60,"1540 Skelton Ct, Fremont, Alameda County, CA, 94536",4,2,"2,325",0.251 ac,Kim Ott ,Compass,"$1,798,888 USD",41,54,60
61,"4990 Everglades Park Dr., Fremont, Alameda County, CA, 94538",3,2,"1,180",0.15 ac,Martin Y Lu ,Alliance Bay Realty,"$1,080,000 USD",40,31,52
62,"4376 Hyde Cmn, Fremont, Alameda County, CA, 94538",4,4,"1,737",0.25 ac,Tim S. Wang ,Legacy Real Estate & Assoc.,"$1,399,800 USD",82,38,58
